,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,inventory,storage,,,,Chem.,Current,Pending  ,Other,Promised,April,May,June,July,August,September,October,November,December,Available,Winemaker Comments
last review,Packaged as:,**This line should not show but is for sorting purposes only**,Variety,lot #,units,vessel ,vintage,AVA,ALC,Analysis ,Inventory,Order Qty,,Quantity,2017,2017,2017,2017,2017,2017,2017,2017,2017,Inventory,
date,,,,,,,,,,Avail?,,,,,,,,,,,,,,,
170801,Chesterfield,White,chardonnay,CWC1234- give me 10 didgets,Shiners,bottles,2013,California,>14,Y,504,,,1,,,,,,,,,,503,
170801,Bulk,White,Mourvedre,CWC1235,gallons,barrels,2013,Lodi,<14,N,944,,117,2,,,,,,,,,,825,
170801,Bulk,Red,Malbec,CWC1236,gallons,barrels,2015,Lodi,?,Y,400,,,3,,,,,,,,,,397,
170801,Bulk,Red,Petite Sirah,CWC1237,gallons,barrels,2015,Lodi,?,N,1652,,,4,,,,,,,,,,1648,
170801,Bulk,Red,Petit Verdot,CWC1238,gallons,ss tank,2015,Lodi,<14,Y,1947,,,5,,,,,,,,,,1942,
170801,Bulk,Red,Petit Verdot reserve,CWC1239,gallons,ss tank,2015,Lodi,<14,N,0,,,6,,,,,,,,,,-6,
170801,Bulk,Red,Pinot Noir,CWC1240,gallons,275 tote,2015,clarksburg,<14,Y,236,,236,7,,,,,,,,,,-7,
170801,Bulk,Red,Pinot Noir,CWC1241,gallons,330 tote,2016,clarksburg,<14,N,,,,8,,,,,,,,,,-8,
170801,Bulk,Red,Pinot Noir,CWC1242,gallons,240 Oenotank,2016,Lodi,<14,Y,413,,,9,,,,,,,,,,404,
170801,Bulk,Red,Pinot Noir,CWC1243,gallons,barrels,2016,CA,<14,N,1003,,,10,,,,,,,,,,993,
170801,Bulk,Red,Cab Franc,CWC1244,gallons,barrels,2016,Lodi,?,Y,0,,,11,,,,,,,,,,-11,
170801,Bulk,Red,Cab Franc Reserve,CWC1245,gallons,barrels,2016,Lodi,?,N,0,,,12,,,,,,,,,,-12,
170801,Bulk,Rose,Cab Sauv Rose,CWC1246,gallons,barrels,2016,Lodi,<14,Y,2000,,,13,,,,,,,,,,1987,
170801,Bulk,Red,Cabernet Sauvignon reserve,CWC1247,gallons,barrels,2016,Lodi,?,Y,2200,,,14,,,,,,,,,,2186,
170801,Bulk,White,Chardonnay,CWC1248,gallons,barrels,2016,Lodi,>14,N,2200,,,15,,,,,,,,,,2185,
170801,Bulk,White,Chardonnay reserve,CWC1249,gallons,barrels,2016,Lodi,>14,Y,660,,,16,,,,,,,,,,644,
170801,Bulk,White,Cuvee Blanc,CWC1250,gallons,barrels,2016,Lodi,<14,N,385,,,17,,,,,,,,,,368,
170801,Bulk,Red,Malbec,CWC1252,gallons,barrels,2016,Lodi,?,N,400,,,19,,,,,,,,,,381,
170801,Bulk,Red,Merlot ,CWC1253,gallons,barrels,2016,Lodi,?,Y,2323,,,20,,,,,,,,,,2303,
170801,Bulk,Red,Mourvedre,CWC1254,gallons,barrels,2016,Lodi,?,N,900,,,21,,,,,,,,,,879,
170801,Bulk,Red,Petit Verdot,CWC1255,gallons,barrels,2016,Lodi,?,Y,23,,,22,,,,,,,,,,1,
170801,Bulk,Red,Petit Verdot reserve,CWC1256,gallons,barrels,2016,Lodi,?,N,24,,,23,,,,,,,,,,1,
170801,Bulk,Red,Pinot Noir,CWC1257,gallons,barrels,2016,Lodi,?,Y,472,,,24,,,,,,,,,,448,
170801,Bulk,Red,Pinot Noir,CWC1258,gallons,barrels,2016,clarksburg,?,N,2419,,,25,,,,,,,,,,2394,
170801,Bulk,Rose,Pinot Noir rose,CWC1259,gallons,barrels,2016,clarksburg,?,Y,2000,,,26,,,,,,,,,,1974,
170801,Bulk,Red,Syrah,CWC1260,gallons,barrels,2016,,?,Y,2000,,,27,,,,,,,,,,1973,
170801,Bulk,Red,Syrah Reserve,CWC1261,gallons,barrels,2016,,?,N,0,,,28,,,,,,,,,,-28,
170801,Shiner,Red,Mourvedre,shiner,Shiners,bottles,2013,Lodi,<14,Y,56,,,29,,,,,,,,,,27,
170801,Shiner,Red,Merlot,shiner,Shiners,bottles,2014,Lodi,<14,N,60,,,30,,,,,,,,,,30,
170801,Shiner,White,Sauv Blanc,Deepwood,Shiners,bottles,2014,lake county,<14,Y,37,,,31,,,,,,,,,,6,
170801,Bulk,White,Symphony,CWC1262,gallons,ss tank,2015,Lodi,<14,N,4600,,,32,,,,,,,,,,4568,
170801,Bulk,Red,Barbera,CWC1263,gallons,ss tank,2016,amador,<14,Y,354,,,33,,,,,,,,,,321,
170801,Bulk,Rose,Barbera rose,CWC1264,gallons,ss tank,2016,amador,<14,N,354,,,34,,,,,,,,,,320,
170801,Bulk,Red,Grenache,CWC1265,gallons,ss tank,2016,amador,<14,Y,236,,,35,,,,,,,,,,201,
170801,Bulk,Rose,Grenache Rose,CWC1266,gallons,ss tank,2016,amador,<14,N,236,,,36,,,,,,,,,,200,
170801,Bulk,Red,Merlot ,CWC1267,gallons,ss tank,2016,north coast,>14,Y,14000,,,37,,,,,,,,,,13963,
170801,Bulk,White,Verdelho,CWC1268,gallons,ss tank,2016,,>14,N,660,,,38,,,,,,,,,,622,
170801,Bulk,Red,Zinfandel,CWC1269,gallons,ss tank,2016,amador,>14,Y,4000,,,39,,,,,,,,,,3961,
170801,Bulk,Rose,Zinfandel Rose,CWC1270,gallons,ss tank,2016,amador,>14,N,944,,,40,,,,,,,,,,904,